"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"유치원",강남유치원,경상북도 안동시 강남로 21,경상북도 안동시 수상동 583-1,36.5475078894,128.703958423,안동시청,안동경찰서,Y,4,14,2019-05-24
"초등학교",강남초교,경상북도 안동시 강남1길78,경상북도 안동시 정하동 272-1,36.5500453567,128.731709642,안동시청,안동경찰서,Y,15,14,2019-05-24
"초등학교",길안초교,경상북도 안동시 충효로 2230,경상북도 안동시 길안면 천지리 554,36.4548655819,128.89611088,안동시청,안동경찰서,N,0,8,2019-05-24
"초등학교",길주초교,경상북도 안동시 경동로 947-20,경상북도 안동시 용상동 591-1,36.5556003003,128.760428918,안동시청,안동경찰서,Y,15,19,2019-05-24
"초등학교",남선초교,경상북도 안동시 남선면 구미양지마길 26,경상북도 안동시 남선면 구미리 146,36.5248502685,128.768694049,안동시청,안동경찰서,N,0,8,2019-05-24
"초등학교",녹전초교,경상북도 안동시 녹전면 녹전로 695,경상북도 안동시 녹전면 신평리 659-3,36.7410559673,128.77411842,안동시청,안동경찰서,N,0,8,2019-05-24
"초등학교",동부초교,경상북도 안동시 동부길 2,경상북도 안동시 신세동 122-1,36.5665292651,128.737001322,안동시청,안동경찰서,Y,10,8,2019-05-24
"초등학교",복주초교,경상북도 안동시 복주3길 23-13,경상북도 안동시 옥동 763-1,36.5629606236,128.698275267,안동시청,안동경찰서,Y,10,17,2019-05-24
"초등학교",대구교육대학교안동부설초교,경상북도 안동시 단원로 222,경상북도 안동시 명륜동 산156-5,36.5698224564,128.728639226,안동시청,안동경찰서,Y,9,8,2019-05-24
"초등학교",북후초교,경상북도 안동시 북후면 도장길 339,경상북도 안동시 북후면 장기리 679,36.6763012339,128.697090361,안동시청,안동경찰서,N,0,8,2019-05-24
"유치원",상지유치원,경상북도 안동시 상지길 31,경상북도 안동시 신안동 27-35,36.5697287595,128.733601243,안동시청,안동경찰서,Y,3,8,2019-05-24
"초등학교",서부초교,경상북도 안동시 서동문로 65,경상북도 안동시 금곡동 111-1,36.5675746487,128.719090103,안동시청,안동경찰서,Y,22,25,2019-05-24
"초등학교",서선초교,경상북도 안동시 풍산읍 서선길 51,경상북도 안동시 풍산읍 수곡리 382,36.5910410548,128.639290868,안동시청,안동경찰서,N,0,8,2019-05-24
