"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",군위초등학교,경상북도 군위군 군위읍 동서5길 28-1,경상북도 군위군 군위읍 서부리 27-16,36.2383226696,128.568063,경상북도 군위군청,군위경찰서,Y,3,,2019-09-24
"어린이집",군위어린이집,경상북도 군위군 군위읍 군청로 107,경상북도 군위군 군위읍 동부리 586-4,36.2332200147,128.5704138796,경상북도 군위군청,군위경찰서,Y,3,,2019-09-24
"초등학교",송원초등학교,경상북도 군위군 소보면 송백로 1394,경상북도 군위군 소보면 송원리 675-2,36.2539345607,128.476403,경상북도 군위군청,군위경찰서,Y,3,,2019-09-24
"초등학교",효령초등학교,경상북도 군위군 효령면 치산효령로 2386,경상북도 군위군 효령면 중구리 171-1,36.1567632103,128.5860128014,경상북도 군위군청,군위경찰서,Y,2,,2019-09-24
"초등학교",고매초등학교,경상북도 군위군 효령면 용매로 970,경상북도 군위군 효령면 고곡리 902-7,36.0971539712,128.5824021605,경상북도 군위군청,군위경찰서,Y,2,,2019-09-24
"초등학교",부계초등학교,경상북도 군위군 부계면 치산효령로 1376,경상북도 군위군 부계면 창평리 900-3,36.1016408019,128.6628172833,경상북도 군위군청,군위경찰서,Y,3,,2019-09-24
"초등학교",대율초등학교,경상북도 군위군 부계면 한밤8길 2,경상북도 군위군 부계면 대율리 661-3,36.0628526402,128.6540363597,경상북도 군위군청,군위경찰서,Y,2,,2019-09-24
"초등학교",우보초등학교,경상북도 군위군 우보면 이화길 95,경상북도 군위군 우보면 이화리 1195-2,36.1951851285,128.6607513982,경상북도 군위군청,군위경찰서,Y,3,,2019-09-24
"초등학교",의흥초등학교,경상북도 군위군 의흥면 읍내길 67-17,경상북도 군위군 의흥면 읍내리 275,36.1752615778,128.7181107730,경상북도 군위군청,군위경찰서,Y,3,,2019-09-24
"초등학교",산성초등학교,경상북도 군위군 산성면 산성가음로 668,경상북도 군위군 산성면 화본리 1165-3,36.1229590007,128.6950854463,경상북도 군위군청,군위경찰서,Y,2,,2019-09-24
"초등학교",석산초등학교,경상북도 군위군 고로면 삼국유사로 1314,경상북도 군위군 고로면 석산리 676-4,36.1747616185,128.8547203440,경상북도 군위군청,군위경찰서,Y,3,,2019-09-24
