"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",초량초등학교,부산광역시 동구 초량상로 49,,35.1157129341,129.0363333020,부산광역시 동구청,초량지구대,N,,,2019-09-26
"초등학교",성남초등학교,부산광역시 동구 범일로53번길 14,,35.1351933382,129.058478,부산광역시 동구청,자성대파출소,N,,,2019-09-26
"초등학교",범일초등학교,부산광역시 동구 증산서로 55,,35.1395711632,129.0496534276,부산광역시 동구청,수성지구대,N,,,2019-09-26
"초등학교",수정초등학교,부산광역시 동구 진성로 29,,35.1312649832,129.0467291351,부산광역시 동구청,수성지구대,N,,,2019-09-26
"초등학교",좌성초등학교,부산광역시 동구 증산동로 59,,35.137133,129.0519501160,부산광역시 동구청,좌천파출소,N,,,2019-09-26
"초등학교",수성초등학교,부산광역시 동구 망양로 807,,35.1345515939,129.042761,부산광역시 동구청,수성지구대,N,,,2019-09-26
"외국인학교",부산화교소학교,부산광역시 동구 대영로239번길 43,,35.1141261639,129.037478,부산공역시 동구청,초량지구대,N,,,2019-09-26
"유치원",소화데레사유치원,부산광역시 동구 범곡남로 5,,35.1380561933,129.055889,부산광역시 동구청,좌천파출소,N,,,2019-09-26
"유치원",일신유치원,부산광역시 동구 정공단로 17,,35.1346751057,129.053374,부산광역시 동구청,좌천파출소,N,,,2019-09-26
"유치원",한림유치원,부산광역시 동구 홍곡남로 3,,35.124173,129.0395579074,부산광역시 동구청,초량지구대,N,,,2019-09-26
"유치원",좌성초등병설유치원,부산광역시 동구 증산동로 59,,35.1371892478,129.0519501160,부산광역시 동구청,좌천파출소,N,,,2019-09-26
"유치원",성남초등병설유치원,부산광역시 동구 범일로53번길 14,,35.1351933382,129.0584732384,부산광역시 동구청,자성대파출소,N,,,2019-09-26
"유치원",동일중앙초등병설유치원,부산광역시 동구 구봉로 46,,35.1245154159,129.0367718277,부산광역시 동구청,초량지구대,N,,,2019-09-26
"유치원",수성초등병설유치원,부산광역시 동구 망양로 807,,35.1345515939,129.0427218238,부산광역시 동구청,수성지구대,N,,,2019-09-26
"유치원",묘음유치원,부산광역시 동구 구봉로 63,,35.1250187317,129.0355646463,부산광역시 동구청,초량지구대,N,,,2019-09-26
"어린이집",묘음예능어린이집,부산광역시 동구 구봉로 63,,35.1250187317,129.0355625,부산광역시 동구청,초량지구대,N,,,2019-09-26
"어린이집",수정어린이집,부산광역시 동구 수정공원로129번길 10,,35.136231,129.0430177309,부산광역시 동구청,수성지구대,N,,,2019-09-26
"어린이집",범일초등병설유치원,부산광역시 동구 증산서로 55,,35.1395711632,129.0496534276,부산광역시 동구청,수성지구대,N,,,2019-09-26
"어린이집",수정삼성어린이집,부산광역시 동구 수정중로 33,,35.13134528,129.0449629,부산광역시 동구청,수성지구대,N,,,2019-09-26
"초등학교",동일중앙초등학교,부산광역시 동구 구봉로 46,,35.1245154159,129.0367718277,부산광역시 동구청,초량지구대,N,,,2019-09-26
