"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",중앙초등학교,경상남도 함안군 가야읍 함안대로 746,경상남도 함안군 가야읍 산서리 684-390,35.2930014,128.4002246007,경상남도 함안군청,함안경찰서,Y,4,8,2019-08-19
"초등학교",아라초등학교,경상남도 함안군 가야읍 함안대로 491,경상남도 함안군 가야읍 말산리 257-1,35.2709977684,128.4082410066,경상남도 함안군청,함안경찰서,Y,9,12,2019-08-19
"초등학교",가야초등학교,경상남도 함안군 가야읍 충무길 54,경상남도 함안군 가야읍 도항리 88-1,35.2780229832,128.4021156201,경상남도 함안군청,함안경찰서,Y,15,12,2019-08-19
"초등학교",법수초등학교,경상남도 함안군 법수면 석무길 41,경상남도 함안군 법수면 윤외리 200,35.3178367246,128.3804852982,경상남도 함안군청,함안경찰서,Y,5,6,2019-08-19
"초등학교",외암초등학교,경상남도 함안군 여항면 여항로 62,경상남도 함안군 여항면 외암리 726-1,35.2088399419,128.4337323453,경상남도 함안군청,함안경찰서,Y,1,7,2019-08-19
"초등학교",함안초등학교,경상남도 함안군 함안면 함안대로 97,경상남도 함안군 함안면 북촌리 1004,35.2413083973,128.4219823149,경상남도 함안군청,함안경찰서,Y,7,4,2019-08-19
"초등학교",칠서초교이룡분교,경상남도 함안군 칠서면 삼칠로 1335,경상남도 함안군 칠서면 이룡리 900,35.3875974372,128.5056413807,경상남도 함안군청,함안경찰서,Y,1,7,2019-08-19
"초등학교",산인초등학교,경상남도 함안군 산인면 송산로 136-20,경상남도 함안군 산인면 내인리 204,35.2897944317,128.4333866525,경상남도 함안군청,함안경찰서,Y,3,10,2019-08-19
"초등학교",대산초등학교,경상남도 함안군 대산면 대산중앙3길 8,경상남도 함안군 대산면 구혜리 229,35.3516356748,128.4311169143,경상남도 함안군청,함안경찰서,Y,5,12,2019-08-19
"초등학교",칠북초등학교,경상남도 함안군 칠북면 단내로 57,경상남도 함안군 칠북면 검단리 980,35.3484563975,128.5282518865,경상남도 함안군청,함안경찰서,Y,1,6,2019-08-19
"초등학교",예곡초등학교,경상남도 함안군 칠원읍 예곡2길 25,경상남도 함안군 칠원읍 예곡리 433,35.2767172833,128.5329077619,경상남도 함안군청,함안경찰서,Y,1,3,2019-08-19
"초등학교",문암초등학교,경상남도 함안군 산인면 모곡1길 2,경상남도 함안군 산인면 모곡리 510,35.2720575416,128.457598,경상남도 함안군청,함안경찰서,Y,1,8,2019-08-19
"초등학교",호암초등학교,경상남도 함안군 칠원읍 호암길 30,경상남도 함안군 칠원읍 오곡리 97,35.2740705373,128.5209713316,경상남도 함안군청,함안경찰서,Y,11,7,2019-08-19
"초등학교",유원초등학교,경상남도 함안군 칠원읍 유원길 37-1,경상남도 함안군 칠원읍 유원리 374,35.2977982,128.4963154684,경상남도 함안군청,함안경찰서,Y,10,6,2019-08-19
"초등학교",칠서초등학교,경상남도 함안군 칠서면 청계2길 9,경상남도 함안군 칠서면 청계리 729,35.3320362849,128.4982885847,경상남도 함안군청,함안경찰서,Y,4,7.5,2019-08-19
"초등학교",칠원초등학교,경상남도 함안군 칠원읍 성내길 32,경상남도 함안군 칠원읍 구성리 730,35.3063845263,128.5193024280,경상남도 함안군청,함안경찰서,Y,4,5,2019-08-19
"초등학교",칠북초교이령분교,경상남도 함안군 칠북면 온천로 63,경상남도 함안군 칠북면 이령리 231-9,35.3663902733,128.5393633368,경상남도 함안군청,함안경찰서,Y,1,6,2019-08-19
"초등학교",월촌초등학교,경상남도 함안군 군북면 월촌3길 27,경상남도 함안군 군북면 월촌리 1214,35.2912465,128.3029414196,경상남도 함안군청,함안경찰서,Y,5,4,2019-08-19
"초등학교",군북초등학교,경상남도 함안군 군북면 덕대길 26-16,경상남도 함안군 군북면 덕대리 17,35.2572081677,128.3462072860,경상남도 함안군청,함안경찰서,Y,3,4,2019-08-19
"초등학교",관동초등학교,경상남도 함안군 법수면 장백로 675,경상남도 함안군 법수면 강주리 408-2,35.3223222,128.3298685053,경상남도 함안군청,함안경찰서,Y,1,4,2019-08-19
"유치원",함안유치원,경상남도 함안군 가야읍 성내북길 58-7,경상남도 함안군 가야읍 도항리 308,35.2766981528,128.3997804133,경상남도 함안군청,함안경찰서,Y,13,8,2019-08-19
