"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",가람초등학교,경상남도 진주시 남강로 959번길 22,경상남도 진주시 상평동 278-1,35.1735958331,128.1014518238,경상남도 진주시청,진주경찰서,Y,12,8,2019-10-22
"초등학교",가좌초등학교,경상남도 진주시 내동로 348번길 17,경상남도 진주시 가좌동 564,35.1495788375,128.1033315650,경상남도 진주시청,진주경찰서,Y,9,8,2019-10-22
"초등학교",갈전초등학교,경상남도 진주시 사들로 173,경상남도 진주시 충무공동 190-1,35.1832047370,128.1490640765,경상남도 진주시청,진주경찰서,Y,4,12,2019-10-22
"초등학교",관봉초등학교,경상남도 진주시 정촌면 정촌로 629,경상남도 진주시 정촌면 관봉리 1150,35.1371178661,128.1431451464,경상남도 진주시청,진주경찰서,Y,5,8,2019-10-22
"초등학교",교대부설초등학교,경상남도 진주시 진양호로 369번길 3,경상남도 진주시 신안동 380,35.1858253428,128.0679698229,경상남도 진주시청,진주경찰서,Y,9,12,2019-10-22
"초등학교",근로복지어린이집,경상남도 진주시 동진로 263번길 14,경상남도 진주시 상대2동 33-106,35.181256,128.121102,경상남도 진주시청,진주경찰서,N,,8,2019-10-22
"초등학교",금곡초등학교,경상남도 진주시 금곡면 월아산로 89번길 11,경상남도 진주시 금곡면 두문리 682-5,35.0900115006,128.1852530699,경상남도 진주시청,진주경찰서,Y,12,6,2019-10-22
"초등학교",금산초등학교,경상남도 진주시 금산면 금산로 75,경상남도 진주시 금산면 중천리 251,35.2153025396,128.1443940712,경상남도 진주시청,진주경찰서,Y,12,8,2019-10-22
"초등학교",금성초등학교,경상남도 진주시 말티고개로 123번길 19,경상남도 진주시 초전동 686-1,35.1984406361,128.1154772700,경상남도 진주시청,진주경찰서,Y,11,8,2019-10-22
"초등학교",금호초등학교,경상남도 진주시 금산면 중천로 67번길 25,경상남도 진주시 금산면 장사리 961,35.2190155850,128.1436598163,경상남도 진주시청,진주경찰서,Y,10,8,2019-10-22
"초등학교",남강초등학교,경상남도 진주시 모덕로 99,경상남도 진주시 상대동 645-9,35.1837735676,128.1097174257,경상남도 진주시청,진주경찰서,Y,12,12,2019-10-22
"초등학교",내동초등학교,경상남도 진주시 내동면 순환로 426,경상남도 진주시 내동면 독산리 568-4,35.1651232398,128.0676683524,경상남도 진주시청,진주경찰서,Y,8,24,2019-10-22
"유치원",누리유치원,경상남도 진주시358번길 13,경상남도 진주시 장재동 582,35.2180995046,128.1025096678,경상남도 진주시청,진주경찰서,N,,,2019-10-22
"초등학교",대곡초등학교,경상남도 진주시 대곡면 진의로 970,경상남도 진주시 대곡면 와룡리 580,35.2581064670,128.177008,경상남도 진주시청,진주경찰서,Y,6,8,2019-10-22
"어린이집",도담어린이집,경상남도 진주시 범골로 38,경상남도 진주시 충무공동 87-2,35.1684259456,128.1300254723,경상남도 진주시청,진주경찰서,N,,,2019-10-22
"초등학교",도동초등학교,경상남도 진주시 대신로 324,경상남도 진주시 하대동 343-3,35.1901536470,128.1176783736,경상남도 진주시청,진주경찰서,Y,14,8,2019-10-22
"초등학교",동진초등학교,경상남도 진주시 도동로 184번길 13,경상남도 진주시 하대동 119-1,35.1878007386,128.124571,경상남도 진주시청,진주경찰서,Y,16,8,2019-10-22
"유치원",리라유치원,경상남도 진주시 금산면 송백로 399,경상남도 진주시 금산면 송백리 556-2,35.204709,128.133984,경상남도 진주시청,진주경찰서,N,,6,2019-10-22
"유치원",마루유치원,경상남도 진주시 나불로21번길 106,경상남도 진주시 이현동 945-1번지,35.2023755348,128.0474854689,경상남도 진주시청,진주경찰서,N,,8,2019-10-22
"초등학교",망경초등학교,경상남도 진주시 천수로 175,경상남도 진주시 망경동 490,35.1788871056,128.0823870676,경상남도 진주시청,진주경찰서,Y,9,12,2019-10-22
"어린이집",명석어린이집,경상남도 진주시 명석면 광제산로 450-4,경상남도 진주시 명석면 관지리 654-2,35.253664,128.041318,경상남도 진주시청,진주경찰서,N,,8,2019-10-22
"초등학교",무지개초등학교,경상남도 진주시 충무공동 영천강로 119번길,경상남도 진주시 충무공동125번지,35.174795,128.150563,경상남도 진주시청,진주경찰서,Y,8,8,2019-10-22
"초등학교",문산초등학교,경상남도 진주시 문산읍 소문길 11,경상남도 진주시 문산읍 소문리 225,35.1706121280,128.1626337064,경상남도 진주시청,진주경찰서,Y,9,8,2019-10-22
"초등학교",미천초등학교,경상남도 진주시 미천면 안간길 18-8,경상남도 진주시 미천면 안간리 797-5,35.3190194464,128.0880737469,경상남도 진주시청,진주경찰서,N,,8,2019-10-22
"초등학교",반성초등학교,경상남도 진주시 일반성면 동부로 2060,경상남도 진주시 일반성면 개암리 805,35.1700780852,128.2857399197,경상남도 진주시청,진주경찰서,Y,7,8,2019-10-22
"초등학교",배영초등학교,경상남도 진주시 석갑로 28,경상남도 진주시 신안동 710-1,35.1766758122,128.0670948929,경상남도 진주시청,진주경찰서,Y,4,8,2019-10-22
"초등학교",봉곡초등학교,경상남도 진주시 북장대로 85번길 11,경상남도 진주시 봉곡동 465-1,35.1972883093,128.0718223408,경상남도 진주시청,진주경찰서,Y,14,8,2019-10-22
"초등학교",봉래초등학교,경상남도 진주시 의병로 265,경상남도 진주시 봉래동 27-2,35.2001598231,128.0861873854,경상남도 진주시청,진주경찰서,Y,14,8,2019-10-22
"초등학교",봉원초등학교,경상남도 진주시 의병로 95-20,경상남도 진주시 상봉동 777,35.2014588424,128.0702695681,경상남도 진주시청,진주경찰서,Y,10,10,2019-10-22
"어린이집",사봉초등학교,경상남도 진주시 사봉면 사군로 99,경상남도 진주시 사봉면 사곡리 993-1,35.1893530276,128.2691494309,경상남도 진주시청,진주경찰서,N,,12,2019-10-22
"초등학교",상봉어린이집,경상남도 진주시 북장대로 85번길 11,경상남도 진주시 상봉동 1075-2,35.197271,128.071841,경상남도 진주시청,진주경찰서,N,,6,2019-10-22
"초등학교",서진초등학교,경상남도 진주시 평거동 800,경상남도 진주시 평거동 85,35.175083,128.053973,경상남도 진주시청,진주경찰서,Y,7,12,2019-10-22
"초등학교",선학초등학교,경상남도 진주시 하대로 105번길 26,경상남도 진주시 초전동 405-1,35.1959326779,128.1231420522,경상남도 진주시청,진주경찰서,Y,12,8,2019-10-22
"유치원",소화유치원,경상남도 진주시 문산읍 소문길 67번길 9-4,경상남도 진주시 문산읍 소문리 58-1,35.1724346630,128.1688021761,경상남도 진주시청,진주경찰서,N,,8,2019-10-22
"초등학교",수곡초등학교,경상남도 진주시 수곡면 곤수로 1000,경상남도 진주시 수곡면 대천리 98,35.2011800240,127.9317421980,경상남도 진주시청,진주경찰서,N,,8,2019-10-22
"초등학교",수정초등학교,경상남도 진주시 진양호로84번길 20,경상남도 진주시 평거동 1125,35.1656695399,128.0484633551,경상남도 진주시청,진주경찰서,Y,11,12,2019-10-22
"초등학교",신안초등학교,경상남도 진주시 평거로 139번길 8,경상남도 진주시 신안동 475,35.1825875778,128.0680021130,경상남도 진주시청,진주경찰서,Y,15,8,2019-10-22
"초등학교",신진초등학교,경상남도 진주시 신평공원길 57번길 19,경상남도 진주시 평거동 748-4,35.1748606461,128.0664740178,경상남도 진주시청,진주경찰서,Y,6,8,2019-10-22
"어린이집",썬키즈어린이집,경상남도 진주시 금산면 금산순환로 532,경상남도 진주시 금산면 장사리 584,35.2188374628,128.1601053006,경상남도 진주시청,진주경찰서,N,,8,2019-10-22
"유치원",아이소크라테스 유치원,경상남도 진주시 진양호로 115번길 32,경상남도 진주시 평거동 717-1,35.1703027523,128.050945,경상남도 진주시청,진주경찰서,N,,6,2019-10-22
"유치원",에덴유치원,경상남도 진주시 하대로 26번길 33,경상남도 진주시 하대동 601,35.1951508797,128.1129333007,경상남도 진주시청,진주경찰서,N,,8,2019-10-22
"초등학교",예하초등학교,경상남도 진주시 정촌면 대축길 10,경상남도 진주시 정촌면 예하리 752-2,35.1234268147,128.0945536872,경상남도 진주시청,진주경찰서,N,,8,2019-10-22
"초등학교",용우초등학교,경상남도 진주시 명석면 광제산로 23,경상남도 진주시 명석면 우수리 109,35.2181637501,128.040277,경상남도 진주시청,진주경찰서,Y,5,8,2019-10-22
"유치원",으뜸유치원,경상남도 진주시 남강로 33,경상남도 진주시 판문동 1240-26,35.1651199196,128.0398688356,경상남도 진주시청,진주경찰서,Y,4,8,2019-10-22
"초등학교",이반성초등학교,경상남도 진주시 이반성면 오봉산로 762,경상남도 진주시 이반성면 하곡리 977,35.1732986344,128.3290470047,경상남도 진주시청,진주경찰서,N,,8,2019-10-22
"초등학교",장재초등학교,경상남도 진주시 초북로 66,경상남도 진주시 초전동 1691,35.2147870500,128.1099285178,경상남도 진주시청,진주경찰서,Y,6,12,2019-10-22
"어린이집",정다운유아스쿨,경상남도 진주시 서장대로 185번길 15,경상남도 진주시 이현동 365-2,35.189122,128.056035,경상남도 진주시청,진주경찰서,N,,6,2019-10-22
"초등학교",정촌초등학교,경상남도 진주시 동부로 11,경상남도 진주시 가좌동 691,35.1607783991,128.1082723480,경상남도 진주시청,진주경찰서,Y,16,12,2019-10-22
"초등학교",주약초등학교,경상남도 진주시 천수로 64,경상남도 진주시 주약동 360-12,35.1721162372,128.0920577861,경상남도 진주시청,진주경찰서,Y,10,8,2019-10-22
"초등학교",지수초등학교,경상남도 진주시 지수면 지수로 482,경상남도 진주시 지수면 압사리 1065-1,35.2348460116,128.2705124382,경상남도 진주시청,진주경찰서,N,,8,2019-10-22
"초등학교",진성초등학교,경상남도 진주시 진성면 진성로 355번길 10,경상남도 진주시 진성면 상촌리 541,35.1703070020,128.2246893958,경상남도 진주시청,진주경찰서,Y,8,8,2019-10-22
"초등학교",진주초등학교,경상남도 진주시 진주성로 24번길 7,경상남도 진주시 인사동 1-25,35.1934303855,128.0783594045,경상남도 진주시청,진주경찰서,Y,11,8,2019-10-22
"특수학교",진주혜광학교,경상남도 진주시 문산읍 월아산로 1048번길 36,경상남도 진주시 문산읍 삼곡리 706,35.1644834986,128.1686093687,경상남도 진주시청,진주경찰서,Y,7,6,2019-10-22
"초등학교",집현초등학교,경상남도 진주시 집현면 지내길 271,경상남도 진주시 집현면 지내리 125,35.2421515221,128.0927586829,경상남도 진주시청,진주경찰서,Y,11,8,2019-10-22
"초등학교",천전초등학교,경상남도 진주시 진주대로 954번길 24,경상남도 진주시 칠암동 237-2,35.1855115551,128.0910381291,경상남도 진주시청,진주경찰서,Y,11,8,2019-10-22
"초등학교",초전초등학교,경상남도 진주시 초전북로 62번길 9,경상남도 진주시 초장동 1634-1,35.207837,128.1144683064,경상남도 진주시청,진주경찰서,Y,8,8,2019-10-22
"초등학교",촉석초등학교,경상남도 진주시 평거로 259,경상남도 진주시 이현동 25,35.1902982524,128.0623631088,경상남도 진주시청,진주경찰서,Y,5,10,2019-10-22
"초등학교",충무공초등학교,경상남도 진주시 사들로 70,경상남도 진주시 충무공동 342,35.1734798614,128.1500029383,경상남도 진주시청,진주경찰서,N,,,2019-10-22
