"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",지곡초교,경상북도 영천시 화남면 천문로 1597-5,경상북도 영천시 화남면 삼창리 218,36.0607351772,128.8901001586,영천시청,영천경찰서,N,,7,2019-10-30
"초등학교",영화초교,경상북도 영천시 영화새싹길 22,경상북도 영천시 화룡동 196-1,35.9654516528,128.9222977457,영천시청,영천경찰서,N,,7,2019-10-30
"초등학교",중앙초교화남분교,경상북도 영천시 화남면 천문로 1224,경상북도 영천시 화남면 사천리 1238,36.0389283070,128.9176122920,영천시청,영천경찰서,N,,7,2019-10-30
"초등학교",영천초교,경상북도 영천시 천문로 253,,35.9615909462,128.9319754492,영천시청,영천경찰서,Y,1,7,2019-10-30
"초등학교",단포초교,경상북도 영천시 고경면 호국로 343,경상북도 영천시 고경면 단포리 160,35.9808943876,128.9747644599,영천시청,영천경찰서,N,,14,2019-10-30
"초등학교",남부초교,경상북도 영천시 한방로 273-6,경상북도 영천시 작산동 56,35.9414025779,128.9571423624,영천시청,영천경찰서,N,,7,2019-10-30
"초등학교",동부초교,경상북도 영천시 호국로 209,,35.9782824743,128.9601901949,영천시청,영천경찰서,N,,14,2019-10-30
"초등학교",금호초교,경상북도 영천시 금호읍 금호로 179,,35.9346149552,128.8805461797,영천시청,영천경찰서,Y,1,7,2019-10-30
"초등학교",화산초교,경상북도 영천시 화산면 장수로 942-9,,36.0202088522,128.8545291785,영천시청,영천경찰서,N,,7,2019-10-30
"초등학교",고경초교,경상북도 영천시 고경면 호국로 1276,경상북도 영천시 고경면 상덕리 345,36.0032586140,129.0682056733,영천시청,영천경찰서,Y,1,14,2019-10-30
"초등학교",북안초교,경상북도 영천시 북안면 운북로 1984,,35.9147073396,129.0110980674,영천시청,영천경찰서,N,,7,2019-10-30
"초등학교",대창초교,경상북도 영천시 대창면 금창로 787,,35.8697458610,128.9059891391,영천시청,영천경찰서,N,,7,2019-10-30
"초등학교",중앙초교,경상북도 영천시 조양길 71,,35.9714745240,128.9319414217,영천시청,영천경찰서,N,,14,2019-10-30
"초등학교",신녕초교,경상북도 영천시 신녕면 큰골길 9,경상북도 영천시 신녕면 화성리 714,36.0460181967,128.7896479860,영천시청,영천경찰서,N,,7,2019-10-30
"초등학교",평천초교,경상북도 영천시 임고면 포은로 814-40,,36.0434872908,128.9860283635,영천시청,영천경찰서,N,,7,2019-10-30
"초등학교",청통초교,경상북도 영천시 청통면 청통초등길 43,,35.9952544208,128.8236065161,영천시청,영천경찰서,Y,2,7,2019-10-30
"초등학교",자천초교,경상북도 영천시 화북면 화북길 75,경상북도 영천시 화북면 자천리 895,36.1097990650,128.9214306856,영천시청,영천경찰서,N,,7,2019-10-30
"초등학교",임고초교,경상북도 영천시 임고면 포은로 491-2,경상북도 영천시 임고면 양항리 638,36.0216420790,128.9733630226,영천시청,영천경찰서,N,,7,2019-10-30
