"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"유치원",합천유치원,경상남도 합천군 합천읍 인덕로 2519,경상남도 합천군 합천읍 합천리 1277,35.569622,128.153268,합천군청,합천경찰서,Y,3,15.0m,2018-04-23
"초등학교",합천초등학교,경상남도 합천군 합천읍 죽죽길 3,경상남도 합천군 합천읍 합천리 315,35.565846,128.163753,합천군청,합천경찰서,Y,3,"14m, 7m",2018-04-23
"유치원",성모유치원,경상남도 합천군 합천읍 충효로3길 10,경상남도 합천군 합천읍 합천리 677-3,35.5657576054,128.161749,합천군청,합천경찰서,Y,3,"7m, 6m",2018-04-23
"초등학교",초계초등학교,경상남도 합천군 초계면 초계중앙로 33-6,경상남도 합천군 초계면 초계리 87-2경상남도 합천군,35.559844,128.2643703,합천군청,합천경찰서,Y,5,7m,2018-04-23
"초등학교",남정초등학교,경상남도 합천군 합천읍 남정길 28,경상남도 합천군 합천읍 합천리 840-2,35.563274,128.156807,합천군청,합천경찰서,Y,3,6m,2018-04-23
"초등학교",덕곡초등학교,경상남도 합천군 덕곡면 오광대로 711,경상남도 합천군 덕곡면 장리 761,35.629173,128.321018,합천군청,합천경찰서,Y,3,7.0m,2018-04-23
"어린이집",삼가어린이집,경상남도 합천군 삼가면 소오길 53-7,경상남도 합천군 삼가면 소오리 18,35.408324,128.311996,합천군청,합천경찰서,Y,3,7.0m,2018-04-23
"초등학교",묘산초등학교,경상남도 합천군 묘산면 묘산로 149,경상남도 합천군 묘산면 산제리 316-1,35.659008,128.111484,합천군청,합천경찰서,Y,3,7.0m,2018-04-23
"초등학교",대양초등학교,경상남도 합천군 대양면 대야로 281-12,경상남도 합천군 대양면 덕정리 898-4,35.517724,128.172441,합천군청,합천경찰서,N,,7.0m,2018-04-23
"초등학교",야로초등학교,경상남도 합천군 야로면 미숭산로 87,경상남도 합천군 야로면 하반리 492,35.7108368944,128.177951,합천군청,합천경찰서,N,3,7.0m,2018-04-23
"초등학교",가산초등학교,경상남도 합천군 가야면 가조가야로 2754-10,경상남도 합천군 가야면 사촌리 168,35.749763,128.127666,합천군청,합천경찰서,N,,7.0m,2018-04-23
"초등학교",적중초등학교,경상남도 합천군 적중면 상중부우회길 115,경상남도 합천군 적중면 상부리 142-1,35.545991,128.281212,합천군청,합천경찰서,Y,3,"7.0m, 5.0m",2018-04-23
"초등학교",청덕초등학교,경상남도 합천군 청덕면 두곡리 428,경상남도 합천군 청덕면 두곡리 428,35.557367,128.315457,합천군청,합천경찰서,Y,3,"6.5, 3~6m",2018-04-23
"초등학교",가회초등학교,경상남도 합천군 가회면 황매산로 58-2,경상남도 합천군 가회면 덕촌리 389,35.435992,128.034292,합천군청,합천경찰서,Y,3,7.0m,2018-04-23
"초등학교",삼가초등학교,경상남도 합천군 삼가면 소오길 12,경상남도 합천군 삼가면 소오리 252-8,35.412450188,128.119195,합천군청,합천경찰서,Y,3,7.0m,2018-04-23
"초등학교",대병초등학교,경상남도 합천군 대병면 신성동길 66,경상남도 합천군 대병면 회양리 880,35.519385,128.010771,합천군청,합천경찰서,Y,2,7.0m,2018-04-23
"초등학교",숭산초등학교,경상남도 합천군 가야면 매안대전길 18-6,경상남도 합천군 가야면 매안리 392,35.732383,128.107123,합천군청,합천경찰서,N,,6.0m,2018-04-23
"초등학교",봉산초등학교,경상남도 합천군 봉산면 김봉길 25-7,경상남도 합천군 봉산면 김봉리 348-1,35.626243,128.040239016,합천군청,합천경찰서,Y,3,5.0m,2018-04-23
"초등학교",쌍백초등학교,경상남도 합천군 쌍백면 평구3길 17,경상남도 합천군 쌍백면 평구리 531-3,35.440083,128.147074,합천군청,합천경찰서,Y,3,7.0m,2018-04-23
"초등학교",쌍책초등학교,경상남도 합천군 쌍책면 성산큰길 47,경상남도 합천군 쌍책면 성산리 639-1,35.575054,128.282624,합천군청,합천경찰서,Y,2,6.0m,2018-04-23
"초등학교",용주초등학교,경상남도 합천군 용주면 황계폭포로 1146,경상남도 합천군 용주면 용지리 274,35.539902,128.114228,합천군청,합천경찰서,Y,3,7.0m,2018-04-23
"초등학교",영전초등학교,경상남도 합천군 율곡면 영전3길 34,경상남도 합천군 율곡면 영전리 446,35.571745,128.218416,합천군청,합천경찰서,Y,3,5.0m,2018-04-23
"초등학교",해인초등학교,경상남도 합천군 가야면 치인3길11,경상남도 합천군 가야면 치인리 산19,35.793219,128.085419,합천군청,합천경찰서,N,,5.0m,2018-04-23
