"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"어린이집",태양,부산광역시 연제구 고분로248번길 55,부산광역시 연제구 연산동 486-29 (태양어린이집),35.1820058211,129.1094239607,부산광역시 연제구청,연제경찰서,N,,8,2019-10-29
"특수학교",동암학교,부산광역시 연제구 톳고개로 50,부산광역시 연제구 연산동 10-51,35.18098633,129.1018281,부산광역시 연제구청,연제경찰서,N,,9,2019-10-29
"유치원",과정,부산광역시 연제구 좌수영로 291,부산광역시 연제구 연산동 149-11 (부산제일교회),35.1876157,129.1102404,부산광역시 연제구청,연제경찰서,N,,6,2019-10-29
"어린이집",소담,부산광역시 연제구 배산북로 22,부산광역시 연제구 연산동 2129-13,35.17555859,129.0939934080,부산광역시 연제구청,연제경찰서,Y,3,6,2019-10-29
"어린이집",한들,부산광역시 연제구 거평로3번길 14,부산광역시 연제구 거제동 949,35.18842661,129.0672211,부산광역시 연제구청,연제경찰서,N,,10,2019-10-29
"어린이집",하나둘,부산광역시 연제구 여고로14번길 47,부산광역시 연제구 거제동 894-13,35.19281527,129.0663233,부산광역시 연제구청,연제경찰서,N,,6,2019-10-29
"초등학교",연동초교,부산광역시 연제구 고분로56번길 40,부산광역시 연제구 연산동 799 (연동 초등학교),35.1839335175,129.0884692561,부산광역시 연제구청,연제경찰서,Y,2,8,2019-10-29
"초등학교",연신초교,부산광역시 연제구 신금로23번길 30,부산광역시 연제구 연산동 302-1 (연신초등학교),35.1924819682,129.0931581796,부산광역시 연제구청,연제경찰서,Y,1,10,2019-10-29
"초등학교",거제초교,부산광역시 연제구 해맞이로 39,부산광역시 연제구 거제동 676-152 (거제초등학교),35.1780756,129.0675687,부산광역시 연제구청,연제경찰서,N,,10,2019-10-29
"유치원",거제초교병설,부산광역시 연제구 해맞이로 39,부산광역시 연제구 거제동 676-152 (거제초등학교),35.1780756,129.0675687,부산광역시 연제구청,연제경찰서,N,,10,2019-10-29
"초등학교",창신초교,부산광역시 연제구 종합운동장로12번길 15,부산광역시 연제구 거제동 897-3 (창신초등학교),35.19281042,129.0658511,부산광역시 연제구청,연제경찰서,N,2,10,2019-10-29
"초등학교",과정초교,부산광역시 연제구 과정로164번길 37,부산광역시 연제구 연산동 473-1 (과정초등학교),35.18673135,129.1103491,부산광역시 연제구청,연제경찰서,N,,8,2019-10-29
"초등학교",연미초교,부산광역시 연제구 금련로38번길 84,부산광역시 연제구 연산동 1824-60 (연미초등학교),35.17070845,129.0921169,부산광역시 연제구청,연제경찰서,N,,5,2019-10-29
"초등학교",연일초교,부산광역시 연제구 고분로 126-4,부산광역시 연제구 연산동 1016 (연일초등학교),35.18431629,129.0954502,부산광역시 연제구청,연제경찰서,Y,1,8,2019-10-29
"특수학교",두레학교,부산광역시 연제구 고분로123번길 13-7,부산광역시 연제구 연산동 1030-1 (부산두레학교),35.1868031194,129.0959557,부산광역시 연제구청,연제경찰서,N,,5,2019-10-29
"초등학교",연산초교,부산광역시 연제구 월드컵대로 41,부산광역시 연제구 연산동 774-1 (연산초등학교),35.1782625861,129.0841270198,부산광역시 연제구청,연제경찰서,N,,6,2019-10-29
"초등학교",연제초교,부산광역시 연제구 중앙대로1065번길 14,부산광역시 연제구 연산동 1300 (연제초등학교),35.18405049,129.0778797,부산광역시 연제구청,연제경찰서,Y,2,6,2019-10-29
"초등학교",연서초교,부산광역시 연제구 거제천로270번길 30,부산광역시 연제구 연산동 583-3 (연서초등학교),35.19094918,129.0866014,부산광역시 연제구청,연제경찰서,N,,8,2019-10-29
"초등학교",거학초교,부산광역시 연제구 교대로24번길 36,부산광역시 연제구 거제동 240 (거학초등학교),35.19748151,129.0768274,부산광역시 연제구청,연제경찰서,Y,1,8,2019-10-29
"초등학교",동명초교,부산광역시 연제구 쌍미천로44번길 17,부산광역시 연제구 연산동 1784-19 (동명초등학교),35.1781717417,129.090835,부산광역시 연제구청,연제경찰서,N,2,8,2019-10-29
"초등학교",토현초교,부산광역시 연제구 토현로 48,부산광역시 연제구 연산동 2219-1 (토현초등학교),35.18129198,129.1117682,부산광역시 연제구청,연제경찰서,N,,6,2019-10-29
"초등학교",연천초교,부산광역시 연제구 과정로225번길 46,부산광역시 연제구 연산동 378-11 (연천 초등학교),35.1862175,129.1004934,부산광역시 연제구청,연제경찰서,Y,4,10,2019-10-29
"유치원",동백연산,부산광역시 연제구 연미로13번길 11,부산광역시 연제구 연산동 1829,35.17293668,129.0929151,부산광역시 연제구청,연제경찰서,N,,7,2019-10-29
"유치원",거성,부산광역시 연제구 거제대로136번길 6,부산광역시 연제구 거제동 740-5 (거성교회),35.18035457,129.0697833,부산광역시 연제구청,연제경찰서,N,,10,2019-10-29
"초등학교",부산교대부설초교,부산광역시 연제구 교대로 24,부산광역시 연제구 거제동 87-2 (부산교육대학교),35.1956930580,129.0770808657,부산광역시 연제구청,연제경찰서,Y,2,8,2019-10-29
"유치원",경상부속,부산광역시 연제구 고분로 170,부산광역시 연제구 연산동 277-4 (부산경상대학),35.18542909,129.1009549,부산광역시 연제구청,연제경찰서,N,,10,2019-10-29
"유치원",연산,부산광역시 연제구 월드컵대로 41,부산광역시 연제구 연산동 774-1 (연산초등학교),35.1782625861,129.0841270198,부산광역시 연제구청,연제경찰서,N,,6,2019-10-29
"유치원",고은,부산광역시 연제구 여고로 126,부산광역시 연제구 거제동 212-2,35.19860242,129.0764689,부산광역시 연제구청,연제경찰서,Y,1,8,2019-10-29
"유치원",동성연천,부산광역시 연제구 고분로 200,부산광역시 연제구 연산동 243-18 (연산엘지아파트),35.18408872,129.1046149,부산광역시 연제구청,연제경찰서,N,,10,2019-10-29
"유치원",브니엘,부산광역시 연제구 중앙천로73번길 15,부산광역시 연제구 연산동 1643-1,35.17976756,129.0800518,부산광역시 연제구청,연제경찰서,N,,8,2019-10-29
"유치원",양지,부산광역시 연제구 쌍미천로30번길 53,부산광역시 연제구 연산동 산143-7,35.17780666,129.0926401,부산광역시 연제구청,연제경찰서,N,1,6,2019-10-29
"유치원",이화,부산광역시 연제구 과정로93번길 32,부산광역시 연제구 연산동 57-77,35.18058584,129.1062033,부산광역시 연제구청,연제경찰서,Y,1,6,2019-10-29
"유치원",토현,부산광역시 연제구 토현로 32,부산광역시 연제구 연산동 2231,35.18031087,129.110635,부산광역시 연제구청,연제경찰서,N,,6,2019-10-29
"초등학교",남문초교,부산광역시 연제구 법원북로 23,부산광역시 연제구 거제동 1474,35.1942358969,129.0695568321,부산광역시 연제구청,연제경찰서,N,,8,2019-10-29
"유치원",동명초교병설,부산광역시 연제구 쌍미천로 44번길 17,부산광역시 연제구 연산동 1784-19,35.1781717417,129.090835,부산광역시 연제구청,연제경찰서,Y,2,8,2019-10-29
"유치원",연천초교병설,부산광역시 연제구 과정로 225번길 46,부산광역시 연제구 연산동 378-11,35.1862175,129.1004934,부산광역시 연제구청,연제경찰서,Y,4,10,2019-10-29
"유치원",창신초교병설,부산광역시 연제구 종합운동장로 12번길 15(거제2동),부산광역시 연제구 거제동 897-3,35.19281042,129.0658511,부산광역시 연제구청,연제경찰서,Y,2,10,2019-10-29
"유치원",글로잉,부산광역시 연제구 연동로14번길33,부산광역시 연제구 연산동 2264,35.18836518,129.0912773,부산광역시 연제구청,연제경찰서,N,,15,2019-10-29
