"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",수창초등학교,대구광역시 중구 달성로22길 30,대구광역시 중구 수창동 73,35.874296,128.5834440055,대구광역시 중구청,대구광역시 중부경찰서,Y,12,7~30,2019-06-01
"초등학교",남산초등학교,대구광역시 중구 남산로 70,대구광역시 중구 남산동 122,35.863204,128.5827598189,대구광역시 중구청,대구광역시 중부경찰서,Y,12,9~32,2019-06-01
"초등학교",명덕초등학교,대구광역시 중구 남산로2길 125,대구광역시 중구 남산동 2113,35.8575390152,128.5890270210,대구광역시 중구청,대구광역시 중부경찰서,Y,14,4~15,2019-06-01
"초등학교",종로초등학교,대구광역시 중구 경상감영길 49,대구광역시 중구 서문로1가 1-5,35.8724962299,128.5897065682,대구광역시 중구청,대구광역시 중부경찰서,Y,8,6~12,2019-06-01
"초등학교",삼덕초등학교,대구광역시 중구 달구벌대로447길 10,대구광역시 중구 삼덕동3가 316,35.863588,128.6078430869,대구광역시 중구청,대구광역시 중부경찰서,Y,11,4~8,2019-06-01
"초등학교",동인초등학교,대구광역시 중구 국채보상로 728,대구광역시 중구 동인동4가 388,35.8680836639,128.6095066499,대구광역시 중구청,대구광역시 중부경찰서,Y,12,5~15,2019-06-01
"초등학교",경대사범대부설초등학교,대구광역시 중구 달구벌대로 2150,대구광역시 중구 봉산동 162,35.8635829260,128.5980661173,대구광역시 중구청,대구광역시 중부경찰서,Y,6,5~11,2019-06-01
"초등학교",계성초등학교,대구광역시 중구 달성로 15,대구광역시 중구 대신동 280-2,35.8660756184,128.5815806743,대구광역시 중구청,대구광역시 중부경찰서,Y,9,4~32,2019-06-01
"초등학교",동덕초등학교,대구광역시 중구 동덕로26길 20,대구광역시 중구 삼덕동2가 227,35.864739,128.604646,대구광역시 중구청,대구광역시 중부경찰서,Y,9,5~13,2019-06-01
"초등학교",대구화교초등학교,대구광역시 중구 종로 34,대구광역시 중구 남일동 142,35.868893,128.5918827,대구광역시 중구청,대구광역시 중부경찰서,Y,1,12,2019-06-01
"유치원",서문유치원,대구광역시 중구 국채보상로93길 9,대구광역시 중구 대신동 180-1,35.871007,128.580485,대구광역시 중구청,대구광역시 중부경찰서,Y,4,7~9,2019-06-01
"유치원",YMCA유치원,대구광역시 중구 중앙대로 375,대구광역시 중구 덕산동 116,35.866686,128.593173,대구광역시 중구청,대구광역시 중부경찰서,Y,1,8~9,2019-06-01
"유치원",원만사유치원,대구광역시 중구 달구벌대로 2013,대구광역시 중구 동산동 708,35.8658471992,128.5838700214,대구광역시 중구청,대구광역시 중부경찰서,Y,2,43~44,2019-06-01
"유치원",성모유치원,대구광역시 중구 남산로4길 90,대구광역시 중구 남산동 2200,35.8606148493,128.5862146141,대구광역시 중구청,대구광역시 중부경찰서,Y,8,10~11,2019-06-01
"유치원",보나유치원,대구광역시 중구 남산로7길 86,대구광역시 중구 남산동 2482-455,35.860456,128.579243,대구광역시 중구청,대구광역시 중부경찰서,Y,8,7~11,2019-06-01
"어린이집",백합어린이집,대구광역시 중구 남산로4길 111,대구광역시 중구 남산동 190-1,35.8623218814,128.5860582232,대구광역시 중구청,대구광역시 중부경찰서,Y,3,10~11,2019-06-01
"어린이집",남산교회어린이집,대구광역시 중구 관덕정길 16,대구광역시 중구 남산동 941-1,35.8650401,128.590565,대구광역시 중구청,대구광역시 중부경찰서,Y,5,6~10,2019-06-01
"초등학교",대구초등학교,대구광역시 중구 명륜로23길 80,대구광역시 중구 봉산동 57,35.8640369029,128.5953695770,대구광역시 중구청,대구광역시 중부경찰서,Y,12,3~12,2019-06-01
"어린이집",대구삼성어린이집,대구광역시 중구 달구벌대로 2016-40,대구광역시 중구 남산동 153-2,35.864469,128.584301,대구광역시 중구청,대구광역시 중부경찰서,Y,2,7~8,2019-06-01
"어린이집",동화나라어린이집,대구광역시 중구 남산로3안길 20,대구광역시 중구 남산동 2623-6,35.860371,128.577492,대구광역시 중구청,대구광역시 중부경찰서,Y,5,6~8,2019-06-01
"어린이집",꿈나무어린이집,대구광역시 중구 남산로7길 35,대구광역시 중구 남산동 2508-2,35.8584830648,128.5805840705,대구광역시 중구청,대구광역시 중부경찰서,Y,4,7~11,2019-06-01
