"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"어린이집",나무와아이들어린이집,경상남도 김해시 진영읍 하계로 412,경상남도 김해시 진영읍 여래리 297-1,35.297691174,128.7373714,경상남도 김해시,김해서부경찰서,Y,2,10,2019-06-24
"유치원",아이숲유치원,경상남도 김해시 월산로 111-79,경상남도 김해시 부곡동 805-6,35.2028767363,128.801967263,경상남도 김해시,김해서부경찰서,N,0,0,2019-06-24
"어린이집",예그린어린이집,경상남도 김해시 덕정로12번길 39-17,경상남도 김해시 관동동 443-1,35.1776751,128.7901947,경상남도 김해시,김해서부경찰서,Y,3,8,2019-06-24
"어린이집",한국꽃나라어린이집,경상남도 김해시 분성로 153,경상남도 김해시 외동 1249-4 한국2차아파트,35.230224096,128.86375761,경상남도 김해시,김해중부경찰서,N,0,0,2019-06-24
"어린이집",해피엔젤어린이집,경상남도 김해시 관동로27번길 53,경상남도 김해시 관동동 246-10,35.1781787,128.811489429,경상남도 김해시,김해서부경찰서,Y,2,7,2019-06-24
"어린이집",아가페어린이집,경상남도 김해시 장유로316번길 22,경상남도 김해시 무계동 333-3,35.198238,128.8133297,경상남도 김해시,김해서부경찰서,Y,1,7,2019-06-24
"어린이집",서부어린이집,경상남도 김해시 전하로208번길 7-13,경상남도 김해시 전하동 515-3,35.222895405,128.871013961,경상남도 김해시,김해서부경찰서,Y,2,5,2019-06-24
"어린이집",율하자연어린이집,경상남도 김해시 관동로27번길 5-17,경상남도 김해시 관동동 356-15,35.1778443,128.8056905,경상남도 김해시,김해서부경찰서,Y,3,6,2019-06-24
"어린이집",대청어린이집,경상남도 김해시 대청로176번길 15,경상남도 김해시 대청동 299,35.1913505375,128.797953747,경상남도 김해시,김해서부경찰서,Y,2,6,2019-06-24
"어린이집",자연해나어린이집,경상남도 김해시 대청로 64-14,경상남도 김해시 관동동 530-2,35.181246,128.8005639,경상남도 김해시,김해서부경찰서,Y,4,30,2019-06-24
"어린이집",천사어린이집,경상남도 김해시 진영로26번길 19,경상남도 김해시 진영읍 진영리 536-2,35.303403411,128.7177779,경상남도 김해시,김해서부경찰서,Y,3,4,2019-06-24
"어린이집",진영어린이집,경상남도 김해시 진영읍 여래로19번길 10-3,경상남도 김해시 진영읍 여래리 530-9,35.3043076,128.7362567,경상남도 김해시,김해서부경찰서,Y,3,6,2019-06-24
"어린이집",동부꽃동산어린이집,경상남도 김해시 삼안로112번길 15-19,경상남도 김해시 삼방동 23-5,35.240412,128.9170731,경상남도 김해시,김해중부경찰서,Y,2,8,2019-06-24
"어린이집",어방화인어린이집,경상남도 김해시 인제로 167-1,경상남도 김해시 어방동 577,35.2448981183,128.901574802,경상남도 김해시,김해중부경찰서,N,0,8,2019-06-24
"어린이집",한샘어린이집,경상남도 김해시 분성로454번길 19-11,경상남도 김해시 삼정동 77-10,35.2335326,128.8964988,경상남도 김해시,김해중부경찰서,Y,4,4,2019-06-24
"어린이집",북부어린이집,경상남도 김해시 해반천로278번길 12-4,경상남도 김해시 삼계동 617-2,35.2724756751,128.86630324,경상남도 김해시,김해중부경찰서,N,0,15,2019-06-24
