"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",의성초등학교,경상북도 의성군 의성읍 군청길 26,경상북도 의성군 의성읍 후죽리 531,36.3520148565,128.6954674511,경상북도 의성군청,경상북도 의성경찰서,Y,4,8,2019-01-31
"초등학교",안계초등학교,경상북도 의성군 안계면 안계길 68,경상북도 의성군 안계면 토매리 111,36.3817191699,128.4447562339,경상북도 의성군청,경상북도 의성경찰서,Y,3,8,2019-01-31
"초등학교",단촌초등학교,경상북도 의성군 단촌면 신기길 42,경상북도 의성군 단촌면 세촌리 875-1,36.4254205340,128.6710480288,경상북도 의성군청,경상북도 의성경찰서,Y,3,9.5,2019-01-31
"초등학교",의성북부초등학교,경상북도 의성군 의성읍 도토길 9,경상북도 의성군 의성읍 후죽리 357-2,36.3616567680,128.6926330297,경상북도 의성군청,경상북도 의성경찰서,Y,2,9.5,2019-01-31
"초등학교",금성초등학교,경상북도 의성군 금성면 탑리길131,경상북도 의성군 금성면 대리리 175-1,36.2628753713,128.6795321916,경상북도 의성군청,경상북도 의성경찰서,Y,3,9.5,2019-01-31
"초등학교",구천초등학교,경상북도 의성군 구천면 소보안계로 1616,경상북도 의성군 구천면 유산리 507,36.3497642964,128.432035,경상북도 의성군청,경상북도 의성경찰서,Y,3,9.5,2019-01-31
"초등학교",도리원초등학교,경상북도 의성군 봉양면 도리원5길 9,경상북도 의성군 봉양면 화전리 143,36.3003537266,128.5792574657,경상북도 의성군청,경상북도 의성경찰서,Y,3,8,2019-01-31
"초등학교",옥전초등학교,경상북도 의성군 옥산면 신감옥산로 1206,경상북도 의성군 옥산면 정자리 102,36.3939808576,128.8073881978,경상북도 의성군청,경상북도 의성경찰서,Y,3,9.5,2019-01-31
"초등학교",점곡초등학교,경상북도 의성군 점곡면 점곡길 8,경상북도 의성군 점곡면 사촌리 191-3,36.425067,128.7609418650,경상북도 의성군청,경상북도 의성경찰서,Y,3,8,2019-01-31
"초등학교",비안이두초등학교,경상북도 의성군 비안면 강변길 105,경상북도 의성군 비안면 이두리 287,36.3376033244,128.4953026457,경상북도 의성군청,경상북도 의성경찰서,Y,3,8,2019-01-31
"초등학교",가음초등학교,경상북도 의성군 가음면 산성가음로 2194,경상북도 의성군 가음면 가산리 884,36.2318856163,128.7276060718,경상북도 의성군청,경상북도 의성경찰서,Y,3,9.5,2019-01-31
"초등학교",다인초등학교,경상북도 의성군 다인면 서릉1길 19-6,경상북도 의성군 다인면 서릉리 120-1,36.449141,128.3577329912,경상북도 의성군청,경상북도 의성경찰서,Y,6,9.5,2019-01-31
"초등학교",의성남부초등학교,경상북도 의성군 의성읍 문소1길 24,경상북도 의성군 의성읍 도동리 670,36.3428854113,128.701773,경상북도 의성군청,경상북도 의성경찰서,Y,3,9.5,2019-01-31
"초등학교",춘산초등학교,경상북도 의성군 춘산면 금성현서로 1487,경상북도 의성군 춘산면 옥정리 353,36.2383441538,128.8126248135,경상북도 의성군청,경상북도 의성경찰서,Y,3,9.5,2019-01-31
"초등학교",안평초등학교,경상북도 의성군 안평면 안평의성로 10,경상북도 의성군 안평면 박곡리 911,36.3765852247,128.5814259880,경상북도 의성군청,경상북도 의성경찰서,Y,3,9.5,2019-01-31
"초등학교",안평초등학교 신평분교,경상북도 의성군 신평면 봉호로 2436,경상북도 의성군 신평면 교안리 270,36.4737701065,128.5045552769,경상북도 의성군청,경상북도 의성경찰서,Y,3,9.5,2019-01-31
"초등학교",단밀초등학교,경상북도 의성군 단밀면 중동단밀로 939,경상북도 의성군 단밀면 속암리 191,36.375648,128.3800983860,경상북도 의성군청,경상북도 의성경찰서,Y,3,8,2019-01-31
"초등학교",쌍호초등학교,경상북도 의성군 안사면 안사풍천길 986,경상북도 의성군 안사면 월소리 750-1,36.4975136439,128.423392,경상북도 의성군청,경상북도 의성경찰서,Y,3,8,2019-01-31
"유치원",안계초등학교 병설유치원,경상북도 의성군 안계면 안계길 68,경상북도 의성군 안계면 토매리 111,36.3817191699,128.4447562339,경상북도 의성군청,경상북도 의성경찰서,Y,3,8,2019-01-31
"유치원",단촌초등학교 병설유치원,경상북도 의성군 단촌면 신기길 42,경상북도 의성군 단촌면 세촌리 875-1,36.4254205340,128.6710480288,경상북도 의성군청,경상북도 의성경찰서,Y,3,9.5,2019-01-31
"유치원",금성초등학교 병설유치원,경상북도 의성군 금성면 탑리길131,경상북도 의성군 금성면 대리리 175-1,36.2628753713,128.6795321916,경상북도 의성군청,경상북도 의성경찰서,Y,3,9.5,2019-01-31
"유치원",구천초등학교 병설유치원,경상북도 의성군 구천면 소보안계로 1616,경상북도 의성군 구천면 유산리 507,36.3497642964,128.4320593143,경상북도 의성군청,경상북도 의성경찰서,Y,3,9.5,2019-01-31
"유치원",도리원초등학교 병설유치원,경상북도 의성군 봉양면 도리원5길 9,경상북도 의성군 봉양면 화전리 143,36.3003537266,128.5792574657,경상북도 의성군청,경상북도 의성경찰서,Y,3,8,2019-01-31
"유치원",옥전초등학교 병설유치원,경상북도 의성군 옥산면 신감옥산로 1206,경상북도 의성군 옥산면 정자리 102,36.3939808576,128.8073881978,경상북도 의성군청,경상북도 의성경찰서,Y,3,9.5,2019-01-31
"유치원",점곡초등학교 병설유치원,경상북도 의성군 점곡면 점곡길 8,경상북도 의성군 점곡면 사촌리 191-3,36.4250653250,128.7609418650,경상북도 의성군청,경상북도 의성경찰서,Y,3,8,2019-01-31
"유치원",가음초등학교 병설유치원,경상북도 의성군 가음면 산성가음로 2194,경상북도 의성군 가음면 가산리 884,36.2318856163,128.7276060718,경상북도 의성군청,경상북도 의성경찰서,Y,3,9.5,2019-01-31
"유치원",다인초등학교 병설유치원,경상북도 의성군 다인면 서릉1길 19-6,경상북도 의성군 다인면 서릉리 120-1,36.4491406,128.3577329912,경상북도 의성군청,경상북도 의성경찰서,Y,6,9.5,2019-01-31
"유치원",의성남부초등학교 병설유치원,경상북도 의성군 의성읍 문소1길 24,경상북도 의성군 의성읍 도동리 670,36.3428854113,128.701773,경상북도 의성군청,경상북도 의성경찰서,Y,3,9.5,2019-01-31
"유치원",춘산초등학교 병설유치원,경상북도 의성군 춘산면 금성현서로 1487,경상북도 의성군 춘산면 옥정리 353,36.2383441538,128.8126248135,경상북도 의성군청,경상북도 의성경찰서,Y,3,9.5,2019-01-31
"유치원",안평초등학교 병설유치원,경상북도 의성군 안평면 안평의성로 10,경상북도 의성군 안평면 박곡리 911,36.3765852247,128.5814259880,경상북도 의성군청,경상북도 의성경찰서,Y,3,9.5,2019-01-31
"유치원",안평초등학교 신평분교 병설유치원,경상북도 의성군 신평면 봉호로 2436,경상북도 의성군 신평면 교안리 270,36.4737701065,128.5045552769,경상북도 의성군청,경상북도 의성경찰서,Y,3,9.5,2019-01-31
"유치원",단밀초등학교 병설유치원,경상북도 의성군 단밀면 중동단밀로 939,경상북도 의성군 단밀면 속암리 191,36.375648,128.3800983860,경상북도 의성군청,경상북도 의성경찰서,Y,3,8,2019-01-31
"유치원",에덴유치원,경상북도 의성군 의성읍 문소1길 94,경상북도 의성군 의성읍 도동리 840,36.3491447051,128.7001146796,경상북도 의성군청,경상북도 의성경찰서,Y,3,8,2019-01-31
"어린이집",충애어린이집,경상북도 의성군 의성읍 홍술로 157,경상북도 의성군 의성읍 후죽리 457-37,36.356746,128.6960390588,경상북도 의성군청,경상북도 의성경찰서,Y,3,16,2019-01-31
